"filename", "language", "JSON with Comments", "XML", "JavaScript", "JSON", "Markdown", "TypeScript", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"g:\PSUT\db bonus final\db_bonus\next.config.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 1, 3, 8
"g:\PSUT\db bonus final\db_bonus\package-lock.json", "JSON", 0, 0, 0, 6715, 0, 0, 0, 0, 0, 1, 6716
"g:\PSUT\db bonus final\db_bonus\package.json", "JSON", 0, 0, 0, 28, 0, 0, 0, 0, 0, 1, 29
"g:\PSUT\db bonus final\db_bonus\postcss.config.mjs", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"g:\PSUT\db bonus final\db_bonus\public\file.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"g:\PSUT\db bonus final\db_bonus\public\globe.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"g:\PSUT\db bonus final\db_bonus\public\next.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"g:\PSUT\db bonus final\db_bonus\public\vercel.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"g:\PSUT\db bonus final\db_bonus\public\window.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"g:\PSUT\db bonus final\db_bonus\tsconfig.json", "JSON with Comments", 34, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"Total", "-", 34, 5, 20, 6743, 23, 1241, 1283, 22, 7, 378, 9756
